token,freq_human,freq_ai,diff_ai_human
provid,42491,142862,100371
import,101105,185636,84531
potenti,17343,100288,82945
addit,24183,103208,79025
lead,59231,131292,72061
reduc,66999,138696,71697
individu,25907,92406,66499
ensur,10972,77139,66167
success,39297,104385,65088
signific,7351,71048,63697
develop,46647,104072,57425
impact,22513,76336,53823
achiev,15899,66413,50514
improv,53804,102204,48400
health,25284,69809,44525
skill,45857,88127,42270
essenti,5766,47435,41669
conclus,71417,109538,38121
encourag,14482,50218,35736
academ,10832,45102,34270
concern,11780,44999,33219
educ,60500,93487,32987
qualiti,11558,44288,32730
posit,54394,85782,31388
engag,10907,42053,31146
challeng,45433,76452,31019
balanc,9828,40573,30745
consid,32902,63632,30730
goal,29688,60417,30729
argu,23560,54136,30576
essay,13256,42517,29261
promot,18431,47324,28893
access,15568,43953,28385
support,58395,86572,28177
sustain,1751,29663,27912
congest,14989,42493,27504
address,3092,29767,26675
contribut,8340,34022,25682
increas,33135,58467,25332
career,22207,47353,25146
climat,2373,27169,24796
critic,4479,28146,23667
failur,11243,34610,23367
urban,983,23562,22579
product,16550,38654,22104
approach,8539,30555,22016
maintain,8497,29680,21183
growth,3393,24394,21001
crucial,5177,26110,20933
cultur,16448,37024,20576
