token,freq_human,freq_ai,diff_ai_human
look,123382,27743,-95639
year,156147,59720,-96427
tri,145196,48441,-96755
place,132373,34794,-97579
comput,115149,17498,-97651
human,154337,55757,-98580
feel,167799,63692,-104107
colleg,311666,205404,-106262
person,213960,107468,-106492
realli,136083,28813,-107270
driver,131626,24070,-107556
idea,167346,58175,-109171
face,214763,102040,-112723
kid,131408,9502,-121906
summer,143831,18133,-125698
ask,143228,13679,-129549
better,222236,90248,-131988
abl,189713,56516,-133197
lot,155249,21187,-134062
presid,222427,83926,-138501
home,168794,29276,-139518
reason,234565,66260,-168305
state,372196,201249,-170947
venus,256464,78338,-178126
need,295257,113303,-181954
work,353195,170052,-183143
way,314309,129140,-185169
day,249459,62225,-187234
phone,241609,53067,-188542
class,262706,66218,-196488
good,259095,60378,-198717
say,235587,24320,-211267
know,283949,61719,-222230
like,482596,260145,-222451
teacher,288411,62484,-225927
project,269761,33870,-235891
use,411687,167606,-244081
help,508824,258864,-249960
elector,484968,234834,-250134
thing,323739,71831,-251908
make,494811,240221,-254590
time,449337,189074,-260263
want,315468,49704,-265764
think,363245,85918,-277327
drive,343215,61931,-281284
vote,487332,157436,-329896
school,636232,174998,-461234
car,918121,321403,-596718
peopl,899487,273118,-626369
student,1168123,421332,-746791
