generated,n_tokens
0,286
0,215
0,345
0,308
0,370
0,226
0,183
0,191
0,192
0,227
0,158
0,322
0,181
0,156
0,306
0,299
0,147
0,144
0,304
0,218
0,271
0,536
0,215
0,279
0,265
0,171
0,219
0,296
0,285
0,418
0,154
0,342
0,280
0,258
0,366
0,241
0,263
0,234
0,455
0,335
0,184
0,237
0,424
0,172
0,212
0,270
0,311
0,172
0,548
0,155
0,322
0,197
0,283
0,204
0,230
0,262
0,213
0,262
0,377
0,281
0,164
0,261
0,137
0,256
0,280
0,348
0,493
0,459
0,339
0,391
0,240
0,308
0,227
0,267
0,211
0,306
0,183
0,400
0,365
0,191
0,207
0,188
0,341
0,170
0,310
0,231
0,203
0,172
0,405
0,171
0,254
0,300
0,541
0,182
0,271
0,271
0,237
0,589
0,183
0,225
0,138
0,159
0,204
0,271
0,247
0,152
0,198
0,327
0,181
0,203
0,199
0,156
0,128
0,339
0,195
0,208
0,238
0,215
0,219
0,268
0,274
0,120
0,401
0,218
0,249
0,221
0,235
0,260
0,317
0,323
0,162
0,214
0,305
0,175
0,220
0,243
0,310
0,312
0,359
0,188
0,186
0,255
0,263
0,241
0,235
0,218
0,207
0,219
0,213
0,179
0,260
0,257
0,349
0,182
0,242
0,269
0,162
0,242
0,180
0,190
0,296
0,214
0,317
0,171
0,344
0,297
0,186
0,212
0,274
0,146
0,354
0,139
0,135
0,335
0,201
0,538
0,207
0,176
0,208
0,186
0,240
0,379
0,294
0,292
0,306
0,205
0,197
0,249
0,368
0,199
0,275
0,165
0,222
0,156
0,106
0,230
0,178
0,222
0,228
0,267
0,255
0,192
0,286
0,173
0,175
0,200
0,343
0,216
0,154
0,137
0,198
0,200
0,299
0,291
0,191
0,153
0,278
0,323
0,303
0,408
0,379
0,210
0,175
0,174
0,380
0,287
0,190
0,198
0,220
0,167
0,290
0,330
0,245
0,387
0,233
0,192
0,135
0,207
0,294
0,160
0,185
0,278
0,149
0,388
0,246
0,223
0,170
0,231
0,196
0,158
0,223
0,224
0,242
0,284
0,253
0,398
0,220
0,230
0,172
0,164
0,184
0,144
0,207
0,266
0,204
0,259
0,304
0,165
0,168
0,157
0,233
0,250
0,178
0,215
0,335
0,165
0,283
0,236
0,261
0,181
0,221
0,361
0,225
0,210
0,222
0,269
0,262
0,227
0,175
0,314
0,234
0,272
0,217
0,383
0,202
0,174
0,328
0,238
0,230
0,181
0,186
0,143
0,193
0,266
0,169
0,313
0,215
0,391
0,272
0,278
0,306
0,213
0,268
0,268
0,421
0,185
0,415
0,487
0,253
0,174
0,265
0,238
0,248
0,170
0,212
0,196
0,594
0,217
0,322
0,242
0,281
0,159
0,201
0,370
0,305
0,321
0,192
0,225
0,275
0,260
0,480
0,199
0,328
0,461
0,203
0,179
0,250
0,186
0,179
0,234
0,281
0,237
0,189
0,192
0,253
0,146
0,211
0,204
0,197
0,249
0,266
0,192
0,234
0,229
0,218
0,310
0,270
0,307
0,229
0,191
0,170
0,212
0,387
0,257
0,235
0,328
0,223
0,231
0,223
0,207
0,375
0,393
0,218
0,213
0,187
0,230
0,254
0,301
0,219
0,240
0,211
0,246
0,316
0,152
0,206
0,199
0,176
0,144
0,217
0,160
0,290
0,235
0,177
0,221
0,175
0,239
0,249
0,211
0,348
0,196
0,254
0,220
0,145
0,317
0,310
0,225
0,245
0,238
0,369
0,337
0,162
0,235
0,316
0,225
0,148
0,190
0,270
0,160
0,489
0,298
0,184
0,340
0,244
0,246
0,281
0,205
0,308
0,249
0,331
0,390
0,313
0,210
0,225
0,198
0,234
0,151
0,250
0,301
0,225
0,134
0,175
0,170
0,449
0,204
0,234
0,230
0,266
0,215
0,181
0,155
0,223
0,282
0,212
0,267
0,260
0,449
0,203
0,265
0,242
0,199
0,267
0,197
0,266
0,209
0,292
0,205
0,177
0,216
0,219
0,246
0,286
0,158
0,187
0,281
0,260
0,171
0,233
0,235
0,281
0,226
0,176
0,240
0,260
0,117
0,162
0,214
0,175
0,221
0,160
0,163
0,163
0,165
0,207
0,241
0,230
0,193
0,437
0,243
0,386
0,354
0,359
0,209
0,304
0,354
0,167
0,319
0,192
0,176
0,270
0,205
0,181
0,272
0,188
0,263
0,312
0,274
0,166
0,281
0,205
0,183
0,261
0,157
0,324
0,166
0,186
0,171
0,214
0,213
0,197
0,338
0,215
0,209
0,271
0,569
0,251
0,257
0,233
0,394
0,174
0,210
0,243
0,259
0,146
0,154
0,249
0,288
0,323
0,260
0,131
0,330
0,238
0,226
