feature,coefficient,rank
super,2.1068176365031652,1
signific,2.096431266165413,2
essay,1.9554625902063343,3
addit,1.9299087881703338,4
engag,1.7959424163166644,5
essenti,1.7689251152554173,6
potenti,1.6031136105597468,7
privaci,1.5994564697368214,8
drawback,1.5877395156786214,9
climat,1.5751305320388072,10
ensur,1.5729746613103968,11
know peopl,1.5703673277109704,12
hey,1.4710088138321877,13
young peopl,1.4552362791797657,14
grade student,1.4399162273514916,15
geolog,1.4196127807897738,16
help learn,1.4099683207499216,17
sincer,1.4016871998729836,18
conclus,1.3985089319146904,19
great way,1.358368124578831,20
cowboy program,1.3174546138681567,21
ultim,1.3095826343602448,22
excit,1.3067253304038775,23
inform decis,1.2994598584934027,24
balanc,1.279356331316286,25
climat chang,1.271695583638656,26
environment,1.2378821234268698,27
number car,1.2334296015450665,28
advertis,1.228434997015741,29
peopl work,1.2108798124372553,30
avail,1.1946461999507716,31
deliv,1.1808383227550665,32
plus,1.1650735874140241,33
make inform,1.1649614160429484,34
argu,1.152542365522414,35
make differ,1.1496578154066794,36
total,1.1467132966621143,37
congest,1.1413990647332797,38
think import,1.1303720623523867,39
address,1.126453496535362,40
studi venus,1.1217034849348015,41
wellb,1.1149897086390095,42
lifelong,1.0942695426833184,43
approach,1.0938671683961931,44
reflect,1.0912720774773432,45
tri decid,1.077287608237495,46
agre statement,1.069889167530991,47
round,1.0670833649607672,48
meaning,1.066172378045749,49
let tell,1.06137474832374,50
difficult,1.0591825991651256,51
contribut,1.0565985877576043,52
overal,1.053974027243518,53
atmospher,1.042044244319671,54
cool,1.0387784561448345,55
fascin,1.0297008772923741,56
sustain,1.0271336145657535,57
marijuana,1.0235698162141529,58
let talk,1.0192856464353341,59
peopl say,1.0157959421006275,60
consid,1.0156312480873786,61
reli,1.0144452385995164,62
accur,1.007053155966684,63
senat write,1.0069727103840316,64
plastic,1.0035846907083457,65
priorit,0.9943739995879601,66
achiev success,0.9858168987989357,67
numer,0.9793466016996858,68
import rememb,0.9787729724548152,69
foster,0.9756833754210047,70
urg,0.9578945886995399,71
leisur,0.9571501757581999,72
urban,0.956691699904625,73
stool,0.956316393603548,74
school day,0.9559711587204618,75
provid,0.9495490276950597,76
discuss,0.9485309178580673,77
averag grade,0.9464831826476165,78
media,0.9447982869566659,79
concern,0.9381677283491866,80
okay,0.9346284866257704,81
exampl student,0.9205898343120451,82
johnson,0.9204663943679882,83
candid win,0.9138186904883971,84
histori,0.9119740430764948,85
super import,0.9119488643914343,86
artifici,0.9107312656812208,87
recent year,0.9103822120839001,88
incred,0.9057695161552606,89
