feature,coefficient,rank
probabl,-2.147711134596225,1
sincer student,-2.1203904783478618,2
paragraph,-2.1162114726400536,3
percent,-2.0792960630333055,4
america,-1.6606009238298998,5
everybodi,-1.4671040629991998,6
pictur,-1.3600641144010335,7
conclud,-1.292730759206731,8
nasa,-1.2872390187222127,9
smog,-1.2600572283760985,10
unless,-1.2359006621935795,11
somebodi,-1.182374459886608,12
prove,-1.1801006280321942,13
dont,-1.1324526780754576,14
wrong,-0.9924807920462021,15
landform,-0.9742156793950439,16
dollar,-0.9669900108171231,17
occur,-0.9653288590183056,18
softwar,-0.9629200242704216,19
everyday,-0.941954120022034,20
agre,-0.9364681562951728,21
reason,-0.9120837805509515,22
europ,-0.9003645292281187,23
dear teacher,-0.8924430583213708,24
muscl,-0.8773127588859281,25
obtain,-0.8765595903218,26
brain,-0.8753880514472857,27
vehicl,-0.8679600346168013,28
elector,-0.8645011197367344,29
confus,-0.857180376119444,30
second reason,-0.843978520106254,31
begin,-0.8423730759402022,32
proper,-0.8323257921421088,33
alien,-0.8292718347147238,34
assign,-0.8241092588062063,35
coupl,-0.8086373712660466,36
land,-0.7966091534749686,37
driverless,-0.7961691412713665,38
think peopl,-0.7930851916418946,39
wrote,-0.7913954609014282,40
hide,-0.7904439256294034,41
lazi,-0.7873356804158994,42
seago,-0.7854787066073443,43
automobil,-0.7852393610357497,44
planet,-0.7835952725122292,45
huge,-0.7816499831085698,46
dear,-0.7779616890208743,47
reason think,-0.7759864006923153,48
reader,-0.7735112079825718,49
self,-0.7653292394256729,50
huang,-0.7650811308437319,51
bigger,-0.7650761526047933,52
method,-0.7552742379726631,53
guy,-0.7492480278543325,54
caus,-0.7477511537619508,55
town,-0.7451757273604014,56
plant,-0.7323977818804844,57
wonder,-0.7317791139522111,58
complic,-0.7220886570448678,59
pick,-0.7214703973137399,60
normal,-0.7214531338125413,61
world war,-0.720297905454397,62
yes,-0.7201484149404535,63
obvious,-0.719310983085365,64
gps,-0.7183744638829075,65
boat,-0.7169694333818731,66
facial,-0.7126968155431659,67
crash,-0.7115765954456945,68
tell,-0.7093851352674045,69
googl,-0.7082891059502543,70
pari,-0.706798975208319,71
got,-0.7032800305310823,72
mental,-0.7022820894068422,73
wreck,-0.6941200681176929,74
given,-0.6911838733451888,75
lesson,-0.6911449670635165,76
sensor,-0.6904077718581968,77
venus,-0.690216744813366,78
till,-0.6819371054883568,79
text,-0.6815738869945255,80
point,-0.680325549025528,81
onlin,-0.6777138711731259,82
person think,-0.6773753003963224,83
lifestyl,-0.6729823651860379,84
human,-0.6618780223463894,85
taxi,-0.6589546415595013,86
feed,-0.6588959367008601,87
sort,-0.6572702653690459,88
social,-0.6525418041941884,89
final reason,-0.6521974033565402,90
surviv,-0.6486310749043742,91
form,-0.6437518808660262,92
slate,-0.6431965750346533,93
calcul,-0.640293491727849,94
accomplish,-0.6367589363199871,95
talent,-0.6363803516309344,96
plane,-0.6360042016271419,97
matter,-0.6345670036655089,98
cover,-0.634235623841258,99
ride bike,-0.6332079233380384,100
devic,-0.6320216817807641,101
higher,-0.6316881000815368,102
chose,-0.6303165631435566,103
expand,-0.6292186394542932,104
dear princip,-0.6259641631479443,105
public school,-0.6252064141701619,106
manufactur,-0.6248405173270759,107
vote,-0.6235369722706395,108
sea,-0.6233950214196946,109
elimin,-0.6220454017772162,110
correct,-0.6196943161542392,111
uniqu place,-0.6194829550840413,112
head,-0.6158178662183822,113
insid,-0.615415538020016,114
type,-0.6152900610800579,115
taken,-0.6088071186653085,116
kid,-0.6080979255998027,117
absolut,-0.6039590037301792,118
school activ,-0.6019951969853556,119
smarter,-0.6003433068598866,120
emot,-0.5993156764824785,121
follow,-0.5992684144455827,122
half,-0.598579747457112,123
summer,-0.5962783317276819,124
council,-0.595712925060276,125
cattl boat,-0.5942438786601485,126
letter,-0.5931591170275251,127
like earth,-0.5929228236605737,128
lower,-0.5891786064846872,129
basi,-0.5882986806523907,130
gas,-0.5877111430418491,131
hospit,-0.5852940544425733,132
author support,-0.5847429677925692,133
lose,-0.5830092106836624,134
bit,-0.5819536803096995,135
social skill,-0.5818337498958858,136
principl,-0.5770817630826772,137
explain,-0.5760379518191919,138
butt,-0.5730047820174453,139
characterist,-0.572920822269159,140
vietnames,-0.5723201141934046,141
princip,-0.5715081421637123,142
cellular,-0.5697889760106501,143
walk,-0.5694383066148341,144
amaz,-0.5692424832414376,145
look like,-0.5690660176185253,146
bus,-0.5681760486055677,147
assist,-0.5671252439779806,148
student abl,-0.5671099742881028,149
box,-0.5661825493434491,150
modifi,-0.5653658520975279,151
sound,-0.5650276668299423,152
communiti servic,-0.5631096688474991,153
colleg process,-0.5621025419368854,154
imposs chang,-0.5585133802360306,155
tenni,-0.5576887364825163,156
hover,-0.5548295279019891,157
advanc,-0.5518781967334281,158
quit,-0.5504273691099153,159
obama,-0.5496838371987843,160
