token,freq_human,freq_ai,diff_ai_human,rank
provid,42491,142862,100371,1
import,101105,185636,84531,2
potenti,17343,100288,82945,3
addit,24183,103208,79025,4
lead,59231,131292,72061,5
reduc,66999,138696,71697,6
individu,25907,92406,66499,7
ensur,10972,77139,66167,8
success,39297,104385,65088,9
signific,7351,71048,63697,10
develop,46647,104072,57425,11
impact,22513,76336,53823,12
achiev,15899,66413,50514,13
improv,53804,102204,48400,14
health,25284,69809,44525,15
skill,45857,88127,42270,16
essenti,5766,47435,41669,17
conclus,71417,109538,38121,18
encourag,14482,50218,35736,19
academ,10832,45102,34270,20
concern,11780,44999,33219,21
educ,60500,93487,32987,22
qualiti,11558,44288,32730,23
posit,54394,85782,31388,24
engag,10907,42053,31146,25
challeng,45433,76452,31019,26
balanc,9828,40573,30745,27
consid,32902,63632,30730,28
goal,29688,60417,30729,29
argu,23560,54136,30576,30
essay,13256,42517,29261,31
promot,18431,47324,28893,32
access,15568,43953,28385,33
support,58395,86572,28177,34
sustain,1751,29663,27912,35
congest,14989,42493,27504,36
address,3092,29767,26675,37
contribut,8340,34022,25682,38
increas,33135,58467,25332,39
career,22207,47353,25146,40
climat,2373,27169,24796,41
critic,4479,28146,23667,42
failur,11243,34610,23367,43
urban,983,23562,22579,44
product,16550,38654,22104,45
approach,8539,30555,22016,46
maintain,8497,29680,21183,47
growth,3393,24394,21001,48
crucial,5177,26110,20933,49
cultur,16448,37024,20576,50
sens,17994,38383,20389,51
risk,34680,54552,19872,52
field,9139,28429,19290,53
ultim,5981,25197,19216,54
uniqu,8132,27277,19145,55
share,20924,39950,19026,56
public,52025,70601,18576,57
attitud,15840,34154,18314,58
relationship,7148,25263,18115,59
experi,70639,88683,18044,60
drawback,859,18879,18020,61
environment,6767,24379,17612,62
social,41078,58302,17224,63
tradit,6369,23421,17052,64
implement,7228,24230,17002,65
region,15752,32722,16970,66
perspect,12947,29908,16961,67
geolog,2262,19089,16827,68
pursu,6028,22784,16756,69
divers,2490,18971,16481,70
privaci,4082,20278,16196,71
offer,26100,41575,15475,72
numer,7246,22679,15433,73
various,11764,27103,15339,74
super,3135,18311,15176,75
negat,27547,42498,14951,76
transport,76059,90960,14901,77
motiv,17776,32616,14840,78
resourc,17454,32181,14727,79
econom,3576,18195,14619,80
advantag,58431,72717,14286,81
foster,695,14840,14145,82
particular,7660,21798,14138,83
rang,5287,19330,14043,84
benefit,106791,120784,13993,85
knowledg,35488,49372,13884,86
scientif,4581,18280,13699,87
explor,61106,74780,13674,88
behavior,6140,19646,13506,89
concept,9725,23205,13480,90
wellb,919,14388,13469,91
complex,4460,17915,13455,92
gain,21139,34515,13376,93
overal,23224,36354,13130,94
role,10227,23310,13083,95
interact,16843,29883,13040,96
influenc,12908,25654,12746,97
univers,11488,24231,12743,98
led,4684,17222,12538,99
commit,6003,18535,12532,100
highlight,762,13232,12470,101
passion,9475,21801,12326,102
difficult,25023,37100,12077,103
connect,15145,27201,12056,104
surf,551,12591,12040,105
valu,12983,24913,11930,106
altern,18719,30491,11772,107
autonom,3597,15279,11682,108
embrac,988,12568,11580,109
discuss,10834,22342,11508,110
remain,7767,19201,11434,111
represent,3444,14835,11391,112
energi,8984,20369,11385,113
necessari,14595,25911,11316,114
analyz,2825,14000,11175,115
initi,3187,14071,10884,116
advertis,1750,12570,10820,117
histori,10950,21738,10788,118
abil,25978,36740,10762,119
wave,3952,14683,10731,120
outcom,23457,34183,10726,121
priorit,760,11442,10682,122
write,23025,33652,10627,123
fulfil,1946,12571,10625,124
media,14690,25194,10504,125
opportun,66017,76511,10494,126
collabor,2652,13139,10487,127
area,35725,46206,10481,128
outweigh,3717,14175,10458,129
profession,5209,15580,10371,130
urg,1693,12051,10358,131
infrastructur,414,10745,10331,132
plastic,743,11019,10276,133
protect,10426,20700,10274,134
transit,4812,15038,10226,135
invest,4496,14661,10165,136
mode,3537,13577,10040,137
group,35925,45950,10025,138
guidanc,3670,13663,9993,139
communic,29968,39953,9985,140
adopt,3819,13796,9977,141
focus,58296,68107,9811,142
judg,3391,13201,9810,143
