token,freq_human,freq_ai,diff_ai_human,rank
student,1168123,421332,-746791,1
peopl,899487,273118,-626369,2
car,918121,321403,-596718,3
school,636232,174998,-461234,4
vote,487332,157436,-329896,5
drive,343215,61931,-281284,6
think,363245,85918,-277327,7
want,315468,49704,-265764,8
time,449337,189074,-260263,9
make,494811,240221,-254590,10
thing,323739,71831,-251908,11
elector,484968,234834,-250134,12
help,508824,258864,-249960,13
use,411687,167606,-244081,14
project,269761,33870,-235891,15
teacher,288411,62484,-225927,16
like,482596,260145,-222451,17
know,283949,61719,-222230,18
say,235587,24320,-211267,19
good,259095,60378,-198717,20
class,262706,66218,-196488,21
phone,241609,53067,-188542,22
day,249459,62225,-187234,23
way,314309,129140,-185169,24
work,353195,170052,-183143,25
need,295257,113303,-181954,26
venus,256464,78338,-178126,27
state,372196,201249,-170947,28
reason,234565,66260,-168305,29
home,168794,29276,-139518,30
presid,222427,83926,-138501,31
lot,155249,21187,-134062,32
abl,189713,56516,-133197,33
better,222236,90248,-131988,34
ask,143228,13679,-129549,35
summer,143831,18133,-125698,36
kid,131408,9502,-121906,37
face,214763,102040,-112723,38
idea,167346,58175,-109171,39
driver,131626,24070,-107556,40
realli,136083,28813,-107270,41
person,213960,107468,-106492,42
colleg,311666,205404,-106262,43
feel,167799,63692,-104107,44
human,154337,55757,-98580,45
comput,115149,17498,-97651,46
place,132373,34794,-97579,47
tri,145196,48441,-96755,48
year,156147,59720,-96427,49
look,123382,27743,-95639,50
text,102481,7572,-94909,51
come,138421,43995,-94426,52
new,200647,106808,-93839,53
learn,294692,202539,-92153,54
friend,142943,51111,-91832,55
activ,196986,105407,-91579,56
caus,124995,33475,-91520,57
advic,110531,19201,-91330,58
driverless,143512,52779,-90733,59
design,119921,29263,-90658,60
earth,114421,25364,-89057,61
sport,116377,28731,-87646,62
happen,100649,13141,-87508,63
life,220086,134742,-85344,64
tell,95749,10945,-84804,65
percent,92065,7351,-84714,66
onlin,119147,35609,-83538,67
said,91428,8110,-83318,68
danger,100157,17236,-82921,69
planet,124394,43282,-81112,70
paragraph,80854,2181,-78673,71
opinion,118091,39638,-78453,72
alien,91948,13573,-78375,73
world,158026,80383,-77643,74
chang,161167,83740,-77427,75
emot,124242,48213,-76029,76
bad,87080,11237,-75843,77
technolog,174018,98382,-75636,78
author,107416,33306,-74110,79
talk,93710,21032,-72678,80
cell,92664,23717,-68947,81
great,110910,41984,-68926,82
best,111023,42347,-68676,83
right,95871,27704,-68167,84
problem,122649,55099,-67550,85
smog,74425,7157,-67268,86
nasa,74555,9326,-65229,87
assign,76145,11755,-64390,88
grade,101717,37435,-64282,89
actual,81466,17385,-64081,90
differ,153611,89957,-63654,91
pictur,68159,4613,-63546,92
start,91150,27657,-63493,93
landform,73084,11522,-61562,94
fun,74329,13127,-61202,95
accid,81646,20486,-61160,96
stress,94817,34792,-60025,97
play,96899,36980,-59919,98
let,87169,28466,-58703,99
pollut,110158,52431,-57727,100
choos,84499,27192,-57307,101
point,74755,17509,-57246,102
mar,103620,47473,-56147,103
complet,81541,26043,-55498,104
end,71062,15589,-55473,105
away,72119,16667,-55452,106
articl,88485,34238,-54247,107
mayb,59424,5802,-53622,108
pick,56483,3070,-53413,109
countri,94899,41685,-53214,110
wrong,58762,6221,-52541,111
averag,66220,14433,-51787,112
stop,56703,5398,-51305,113
choic,78369,27463,-50906,114
big,63114,13007,-50107,115
read,67986,18251,-49735,116
pari,57321,9351,-47970,117
sourc,77500,29929,-47571,118
ban,63855,16462,-47393,119
extracurricular,76288,29698,-46590,120
pay,59894,13426,-46468,121
money,76072,30076,-45996,122
hard,73662,28874,-44788,123
got,51026,6558,-44468,124
decid,61757,17622,-44135,125
happi,55315,11502,-43813,126
allow,130582,87393,-43189,127
parent,65953,23181,-42772,128
chanc,60671,18224,-42447,129
join,55243,12930,-42313,130
probabl,43786,1540,-42246,131
fine,44929,3363,-41566,132
generic,46097,4762,-41335,133
road,82155,40876,-41279,134
distract,63328,22993,-40335,135
turn,50724,10560,-40164,136
mean,93812,54103,-39709,137
