token,count,rank
student,421332,1
car,321403,2
peopl,273118,3
like,260145,4
help,258864,5
make,240221,6
elector,234834,7
colleg,205404,8
learn,202539,9
state,201249,10
time,189074,11
import,185636,12
school,174998,13
work,170052,14
use,167606,15
vote,157436,16
provid,142862,17
reduc,138696,18
life,134742,19
elect,134558,20
lead,131292,21
way,129140,22
limit,128260,23
benefit,120784,24
believ,117365,25
exampl,116162,26
usag,114957,27
need,113303,28
conclus,109538,29
person,107468,30
new,106808,31
activ,105407,32
success,104385,33
develop,104072,34
addit,103208,35
improv,102204,36
face,102040,37
potenti,100288,38
technolog,98382,39
understand,95255,40
educ,93487,41
popular,93435,42
individu,92406,43
communiti,91249,44
transport,90960,45
better,90248,46
differ,89957,47
candid,89062,48
experi,88683,49
skill,88127,50
allow,87393,51
live,86951,52
support,86572,53
think,85918,54
posit,85782,55
presid,83926,56
chang,83740,57
world,80383,58
creat,78480,59
venus,78338,60
ensur,77139,61
opportun,76511,62
challeng,76452,63
impact,76336,64
explor,74780,65
citi,74706,66
advantag,72717,67
studi,72657,68
decis,72204,69
thing,71831,70
signific,71048,71
public,70601,72
health,69809,73
environ,68470,74
focus,68107,75
achiev,66413,76
reason,66260,77
class,66218,78
effect,65163,79
feel,63692,80
consid,63632,81
teacher,62484,82
day,62225,83
drive,61931,84
know,61719,85
goal,60417,86
good,60378,87
year,59720,88
inform,58601,89
increas,58467,90
social,58302,91
idea,58175,92
requir,57908,93
express,56629,94
abl,56516,95
number,56093,96
human,55757,97
futur,55636,98
traffic,55213,99
problem,55099,100
risk,54552,101
air,54452,102
argu,54136,103
process,54104,104
mean,54103,105
high,53952,106
phone,53067,107
driverless,52779,108
pollut,52431,109
friend,51111,110
encourag,50218,111
want,49704,112
knowledg,49372,113
program,49355,114
tri,48441,115
emot,48213,116
major,47484,117
mar,47473,118
respons,47459,119
essenti,47435,120
career,47353,121
promot,47324,122
natur,47255,123
area,46206,124
group,45950,125
job,45917,126
academ,45102,127
concern,44999,128
qualiti,44288,129
particip,44230,130
come,43995,131
access,43953,132
second,43903,133
includ,43730,134
unit,43365,135
planet,43282,136
vehicl,42939,137
final,42720,138
essay,42517,139
negat,42498,140
congest,42493,141
voter,42360,142
best,42347,143
engag,42053,144
great,41984,145
hand,41953,146
countri,41685,147
offer,41575,148
famili,41119,149
free,41114,150
result,41021,151
road,40876,152
continu,40755,153
balanc,40573,154
set,40127,155
communic,39953,156
share,39950,157
emiss,39773,158
opinion,39638,159
win,39572,160
cowboy,39495,161
issu,39260,162
furthermor,38823,163
product,38654,164
sens,38383,165
research,38374,166
action,38220,167
facial,38129,168
possibl,37595,169
grade,37435,170
option,37278,171
difficult,37100,172
cultur,37024,173
play,36980,174
abil,36740,175
overal,36354,176
classroom,36030,177
onlin,35609,178
young,35386,179
valuabl,34818,180
place,34794,181
stress,34792,182
failur,34610,183
gain,34515,184
articl,34238,185
outcom,34183,186
attitud,34154,187
societi,34111,188
practic,34037,189
contribut,34022,190
project,33870,191
servic,33744,192
write,33652,193
caus,33475,194
power,33315,195
author,33306,196
enjoy,33142,197
travel,33046,198
region,32722,199
motiv,32616,200
