token,count,rank
student,1168123,1
car,918121,2
peopl,899487,3
school,636232,4
help,508824,5
make,494811,6
vote,487332,7
elector,484968,8
like,482596,9
time,449337,10
use,411687,11
state,372196,12
think,363245,13
work,353195,14
drive,343215,15
thing,323739,16
want,315468,17
way,314309,18
colleg,311666,19
need,295257,20
learn,294692,21
teacher,288411,22
know,283949,23
project,269761,24
class,262706,25
good,259095,26
venus,256464,27
day,249459,28
phone,241609,29
say,235587,30
reason,234565,31
presid,222427,32
better,222236,33
life,220086,34
face,214763,35
person,213960,36
new,200647,37
activ,196986,38
abl,189713,39
technolog,174018,40
home,168794,41
feel,167799,42
idea,167346,43
elect,162918,44
chang,161167,45
world,158026,46
year,156147,47
lot,155249,48
human,154337,49
differ,153611,50
tri,145196,51
summer,143831,52
exampl,143522,53
driverless,143512,54
ask,143228,55
friend,142943,56
come,138421,57
believ,137025,58
realli,136083,59
place,132373,60
driver,131626,61
kid,131408,62
allow,130582,63
live,126150,64
caus,124995,65
communiti,124515,66
planet,124394,67
emot,124242,68
limit,123656,69
look,123382,70
problem,122649,71
design,119921,72
onlin,119147,73
opinion,118091,74
sport,116377,75
comput,115149,76
candid,114605,77
earth,114421,78
popular,111732,79
best,111023,80
great,110910,81
advic,110531,82
citi,110516,83
pollut,110158,84
author,107416,85
usag,107326,86
studi,107029,87
benefit,106791,88
mar,103620,89
text,102481,90
grade,101717,91
import,101105,92
creat,101088,93
happen,100649,94
danger,100157,95
play,96899,96
right,95871,97
tell,95749,98
countri,94899,99
stress,94817,100
mean,93812,101
talk,93710,102
cell,92664,103
percent,92065,104
alien,91948,105
said,91428,106
start,91150,107
articl,88485,108
let,87169,109
bad,87080,110
understand,86847,111
choos,84499,112
environ,83507,113
air,82407,114
road,82155,115
accid,81646,116
complet,81541,117
actual,81466,118
paragraph,80854,119
futur,80295,120
voter,78468,121
choic,78369,122
decis,78247,123
sourc,77500,124
extracurricular,76288,125
assign,76145,126
money,76072,127
transport,76059,128
possibl,74812,129
point,74755,130
nasa,74555,131
smog,74425,132
fun,74329,133
hard,73662,134
unit,73143,135
landform,73084,136
job,72917,137
classroom,72777,138
particip,72685,139
away,72119,140
conclus,71417,141
free,71410,142
walk,71333,143
end,71062,144
requir,70868,145
experi,70639,146
servic,70486,147
inform,70295,148
famili,69877,149
high,68493,150
program,68490,151
pictur,68159,152
read,67986,153
reduc,66999,154
vehicl,66385,155
averag,66220,156
long,66134,157
opportun,66017,158
parent,65953,159
facial,65347,160
second,64142,161
ban,63855,162
distract,63328,163
major,63249,164
big,63114,165
instead,62599,166
decid,61757,167
cowboy,61456,168
explor,61106,169
express,60855,170
chanc,60671,171
natur,60562,172
educ,60500,173
pay,59894,174
stay,59586,175
fact,59448,176
mayb,59424,177
lead,59231,178
wrong,58762,179
gas,58726,180
multipl,58593,181
advantag,58431,182
support,58395,183
focus,58296,184
citizen,57642,185
attend,57350,186
number,57346,187
pari,57321,188
form,56830,189
stop,56703,190
pick,56483,191
effect,56454,192
scientist,55778,193
break,55734,194
attent,55413,195
happi,55315,196
join,55243,197
option,55026,198
care,54707,199
thought,54503,200
